cnpj_nome;contribuinte_icms;consumidor_final;endereco;bairro;cidade;uf;cep
28.163.588/0002-02 - PETRO-VICTORY ENERGIA LTDA;Não;Cons.Final;FAZENDA PALMEIRAS SN;POVOADO SAO JOAO;PRIMEIRA CRUZ;MA;65190-000
28.163.588/0003-85 - PETRO-VICTORY ENERGIA LTDA;Não;Cons.Final;RUA ARTUR PAULA 2;NOVA BETANIA;MOSSORO;RN;59612-120
28.850.364/0001-80 - CARVALHO E CORREIA SERVIÇOS E COM LTDA;Não;Cons.Final;RODOVIA BA 420 06;PARQUE DE VAQUEJADA;POJUCA;BA;48120-000
29.019.399/0002-15 - NTF OLEO   GAS SA;Não;Cons.Final;AVENIDA LUIS VIANA FILHO 13223 - SALA 4;SAO CRISTOVAO;SALVADOR;BA;41500-300
29.140.007/0001-90 - GEOFEX TECNOLOGIAS LTDA;Não;Cons.Final;R RIBEIROPOLIS 298;SUICA;ARACAJU;SE;49052-360
29.341.672/0001-42 - FSC BRASIL COMERCIO DE SUP. NDUS.LTDA;Sim;Revendedor;RUA AVARE 01109;CAMPO GRANDE;RIO DE JANEIRO;RJ;23045-000
29.618.214/0001-08 - CARLOS AUGUSTO DOS SANTOS SERVICOS;Sim;Cons.Final;RUA VENEZUELA 30;CHACARA DALTRO;ARARAS;SP;13600-310
29.829.452/0001-62 - TUCANO SERVICOS DE APOIO A OLEO E GAS LT;Não;Cons.Final;RUA JJ SEABRA 182 - SALA 3;CENTRO;POJUCA;BA;48120-000
29.829.452/0002-43 - TUCANO SERVICOS DE APOIO A OLEO E GAS LT;Não;Cons.Final;RUA PROFESSOR JOSE DA SILVEIRA CAMERINO 880 - COND EMP BELO HORIZONTE SALA 124 Q;PINHEIRO;MACEIO;AL;57057-250
29.829.452/0003-24 - TUCANO SERVICOS DE APOIO A OLEO E GAS LT;Não;Cons.Final;R DONA MARIINHA MENDES 03;ALTO DE SAO MANOEL;MOSSORO;RN;59631-220
29.829.452/0005-96 - TUCANO SERVICOS DE APOIO A OLEO E GAS LT;Não;Cons.Final;RUA GILBERTO AMARAL LOPES SN;OTAVIO ACIOLE SOBRAL;CARMOPOLIS;SE;49740-000
29.922.898/0001-37 - JC SERVICOS METALURGICA LTDA;Sim;Cons.Final;RUA VEREADOR MURILO FUNDAO 162;BOA VISTA;SAO MATEUS;ES;29931-490
30.759.670/0001-57 - POTIGUAR E P SA;Não;Cons.Final;AV LAURO MONTE 1010;ABOLICAO;MOSSORO;RN;59619-000
30.862.521/0001-19 - ALIANCA COMERCIO IMPORTACAO E EXPORTACAO LTDA;Não;Cons.Final;RUA PROJETADA TREZE S/N;CORAMARA;AFONSO CLAUDIO;ES;29313-364
31.804.966/0024-00 - COOPERATIVA DE CREDITO COOPERMAIS - SICO;Não;Cons.Final;AVENIDA MANOEL DIAS DA SILVA 1721 - PAVMTO1;PITUBA;SALVADOR;BA;41830-000
31.881.509/0001-14 - CONSORCIO DA UNIDADE;Não;Cons.Final;RODOVIA BA-099 - ESTRADA DO COCO - RUA VILA CAMACARI;BARRA DO POJUCA MONTE GORDO;CAMACARI;BA;42841-364
32.021.201/0001-61 - ORIGEM ENERGIA SA;Não;Cons.Final;RUA LAURO MULLER N 116 SALA 4402 DO RIO DE JANEIRO;Botafogo;RIO DE JANEIRO;RJ;22290-160
32.137.521/0002-62 - PETROM PRODUCAO DE PETROLEO   GAS LTDA;Sim;Cons.Final;FAZENDA PEDRA SN;ZONA RURAL;SANTO AMARO DAS BROTAS;SE;49180-000
33.000.167/0001-01 - PETROLEO BRASILEIRO S A PETROBRAS;Não;Cons.Final;AV REPUBLICA DO CHILE 65;CENTRO;RIO DE JANEIRO;RJ;20031-170
33.000.167/0236-67 - PETROLEO BRASILEIRO S A PETROBRAS;Sim;Cons.Final;FAZENDA MODELO S N;FAZENDA MODELO;CATU;BA;48110-000
33.400.769/0001-56 - CREATIVE ENERGY SERVICOS E EXPLORACAO LT;Não;Cons.Final;AVENIDA RIO BRANCO 001 - GRUPO 1502;CENTRO;RIO DE JANEIRO;RJ;20090-907
33.443.860/0003-10 - 3R MACAU SA;Não;Cons.Final;ESTRADA MACAU A BARREIRAS 21;ZONA LITORANEA;MACAU;RN;59500-000
34.186.669/0003-01 - ORIGEM ENERGIA ALAGOAS S.A.;Sim;Cons.Final;RODOVIA 316, ACESSO FAZENDA LAMARAO, PARTE I SN;ZONA RURAL;PILAR;AL;57150-000
34.186.669/0004-84 - ORIGEM ENERGIA ALAGOAS SA;Sim;Cons.Final;ROD CAPITAO PEDRO TEIXEIRA BR 316 1753;FAZENDA VILA NOVA;PILAR;AL;57150-000
34.187.591/0001-70 - BRASFORJA INDUSTRIA E COMERCIO DE CONEXO;Não;Cons.Final;VALE VLE TORRES - GP 6;CIA;SIMOES FILHO;BA;43700-000
34.376.079/0001-71 - AJAD USINAGENS ESPECIALIZADAS LTDA;Não;Cons.Final;RUA DA ASSEMBLEIA DA CEASA 22 - GALPAO;CEASA;SALVADOR;BA;41402-260
34.969.070/0001-74 - CEM METAIS DESMONTAGEM INDUSTRIAL E EXPO;Não;Cons.Final;R MIRANDA AZEVEDO 730 - QUADRAZ;CENTRO;SOROCABA;SP;18035-090
35.121.301/0001-58 - HSP POCOS ARTESIANOS LTDA;Não;Cons.Final;RUA VEREADOR MARCELINO DA SILVA BRAGA 180;DISTRITO INDUSTRIAL DOIS;BOA ESPERANCA DO SUL;SP;14930-000
35.156.290/0002-22 - 3R RIO VENTURA SA;Não;Cons.Final;R JOSE VISCO 585;PIONEIRO;CATU;BA;48110-000
35.297.380/0001-52 - IOSENERGY DO BRASIL TECNOLOGIA PARTICIPA;Não;Cons.Final;R ENGENHEIRO CESAR DE MENDONCA 00150;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640-140
36.293.264/0001-28 - GLOBOMAR COMERCIAL LTDA;Não;Cons.Final;AV PREF ARISTEU F DA SILVA 900;NOVO CAVALEIROS;MACAE;RJ;27930-070
38.298.703/0001-10 - DIRECTADRILL SERVICOS DE PERFURACAO DIRE;Sim;Cons.Final;R CHICO TEOFILO 298;AEROPORTO;MOSSORO;RN;59607-520
40.102.135/0001-82 - HB CONSTRUCAO E PERFURACAO HORIZONTAL LTDA;Sim;Cons.Final;AVENIDA PEDRO PAES DE AZEVEDO 225;SALGADO FILHO;ARACAJU;SE;49020-450
40.561.235/0001-77 - METALDRILLING OILFIELD SUPPLY EXPORTACAO E IMPORTA;Sim;Cons.Final;RODOVIA BR 324 S/N;CIA/ARATU;SIMOES FILHO;BA;43700-000
40.602.633/0001-94 - ETEP INDUSTRIA METALURGICA LTDA;Não;Cons.Final;R MARTINIANO BONFIM 283 - ESTRADA VELHA DO RETIRO;RETIRO;SALVADOR;BA;41150-205
40.768.701/0001-90 - SPE MIRANGA SA;Não;Cons.Final;AV LUIS VIANA FILHO 013223 - EDIF HANGAR BUSINESS PARK HANGAR 3 SALA 401 A 420;SAO CRISTOVAO;SALVADOR;BA;41500-300
41.952.235/0001-60 - SUL AMERICA ENGENHARIA LTDA;Não;Cons.Final;AVENIDA HEMATITA 585;DISTRITO INDUSTRIAL;ITABIRA;MG;35903-051
41.955.491/0002-92 - CARMO ENERGY SA;Sim;Cons.Final;EST ENGENHO SOLEDADE BR 101 SN - KM 48-50;ZONA RURAL;JAPARATUBA;SE;49960-000
42.419.150/0001-84 - APOLO TUBULARS S/A;Sim;Cons.Final;AVENIDA DOUTOR LEO DE AFFONSECA NETTO 750;JARDIM NOVO HORIZONTE;LORENA;SP;12605-720
43.033.709/0001-04 - JOSE GUIA DA SILVA;Sim;Cons.Final;ESTRADA LOBATO-CAMPINAS 26;LOBATO;SALVADOR;BA;40470-382
43.662.767/0001-99 - RB CONSORCIO;Sim;Cons.Final;FAZENDA NOSSA SENHORA DA PENHA S/NÂº;AREA RURAL DE LINHARES;LINHARES;ES;29918-899
44.186.763/0005-78 - 3R POTIGUAR SA;Não;Cons.Final;AV WILSON ROSADO DE SA SN - KM 46 BR 304 PARTE;ALTO DO SUMARE;MOSSORO;RN;59633-900
44.547.241/0001-20 - CONSORCIO DE EXPLORACAO TUC-T-139;Não;Cons.Final;RODOVIA RODOVIA VICINAL KM 11;FAZENDA VARGINHA;NOVA SOURE;BA;48460-000
45.832.752/0001-57 - NION ENERGIA SA;Não;Cons.Final;ROD BR 304 1052;ALTO DO SUMARE;MOSSORO;RN;59633-730
46.986.077/0001-83 - 4BD BUSINESS DEVELOPER LTDA;Não;Cons.Final;RUA CAMPO DE ALBACORA 484;ATLANTICA;RIO DAS OSTRAS;RJ;28895-664
47.257.632/0001-07 - PRK RENTAL LTDA;Não;Cons.Final;RUA HONOR GREGORIO SANTOS 36;GRAGERU;ARACAJU;SE;49027-130
47.851.611/0001-07 - NBS PETROLEO E GAS LTDA;Sim;Cons.Final;RUA CLARINDO FUNDAO 57;MORADA DE RIBEIRAO;SAO MATEUS;ES;29936-460
