AECLLUV089EUR001 - LUVA REGULAR CONEX 3.1/2 IN EU;
AECLLUV089NUR001 - LUVA REGULAR CONEX 3.1/2 IN NU;
AECLLUV102EUR001 - LUVA REGULAR CONEX 4 IN EU;
AECLLUV102NUR001 - LUVA REGULAR CONEX 4 IN NU;
AECLLUV115EUR001 - LUVA REGULAR CONEX 4.1/2 IN EU;
AECLLUV115NUR001 - LUVA REGULAR CONEX 4.1/2 IN NU;
AECLLUV245BTC001 - LUVA REGULAR 9.5/8 IN BC;
AECLNPA074EUR002 - NIPLE ASSENT A TOP NO GO CONEX 2.7/8 IN EU ID 1,812 IN;
AECLNPF074EUR001 - NIPLE ASSENT F TOP NO GO CONEX 2.7/8 IN EU ID 2.1/4 IN;
AECLNPF089EUR001 - NIPLE ASSENT F TOP NO GO CONEX 3.1/2 IN EU ID 2,87 IN;
AECLNPL026NPT001 - NIPLE CONEX PN-PN 1 IN NPT L 6 IN SCH 80;
AECLNPL045061001 - NIPLE EXTENSAO SUPERIOR 2.3/8 IN L 24 IN;
AECLNPL051NPT001 - NIPLE CONEX PN-PN 2 IN NPT L 6 IN SCH 80;
AECLNPL061EUR001 - NIPLE EXTENSAO SUPERIOR N21-20;
AECLNPL074EUR001 - NIPLE EXTENSAO SUPERIOR N11-25;
AECLNPL074EUR002 - NIPLE DE ASSENTAMENTO SUPERIOR N14-25;
AECLNPL077NPT001 - NIPLE CONEX PN-PN 3 IN NPT L 6 IN SCH 80;
AECLNPL089EUR001 - NIPLE EXTENSAO SUPERIOR N11-30;
AECLNPR061EUR001 - NIPLE ASSENT. R BOTTOM NO GO CONEX 2.3/8 IN EU ID 1,812 IN;
AECLNPR074EUR001 - NIPLE ASSENT R BOTTOM NO GO CONEX 2.7/8 IN EU ID 1,812 IN;
AECLNPR074EUR002 - NIPLE ASSENT. R BOTTOM NO GO CONEX 2.7/8 IN EU ID 2.1/4 IN;
AECLNPR080EUR001 - NIPLE ASSENT R BOTTOM NO GO CONEX 3.1/8 IN EU ID 2.3/4 IN;
AECLPKR000000002 - CAMISA DE SUPORTE 47;
AECLPKR140000001 - REPARO PARA OBTURADOR MANDRIL CONECTOR P/ FH 45;
AECLPKR140000002 - CORPO DO PACKER R-3 DG 45;
AECLPKR140000003 - SUBSTITUTO SUPERIOR 43-45;
AECLPKR140000004 - PORCA DE AJUSTE 43-45;
AECLPKR140000005 - CARCAÇA DA CAMISA DE BALANCEIO 45;
AECLPKR140000006 - (REPARO DE OBTURADOR) CAMISA DE BALANCEIO 45 R-3 DG - AR-1;
AECLPKR140000007 - SUBSTITUTO INFERIOR 43-45;
AECLPKR140000008 - RECEPTACULO 45AB;
AECLPKR140000009 - PISTÃO 45B;
AECLPKR140000010 - FIXADOR DO PISTÃO 45AB;
AECLPKR140000011 - ANEL TRAVA  DA CUNHA 45;
AECLPKR140000012 - ANEL CALIBRADOR 45B;
AECLPKR140000013 - ANEL ESPAÇADOR 45B;
AECLPKR140000014 - CAMISA DE SUPORTE 45;
AECLPKR140000015 - ANEL GUIA 45B;
AECLPKR140000016 - CONE 45;
AECLPKR140000017 - CAMISA CONECTORA 45;
AECLPKR140000018 - CUNHA 45B;
AECLPKR140000019 - ANEL DA CUNHA 45;
AECLPKR140000020 - ANEL RETENTOR DA CUNHA 45;
AECLPKR140000021 - ANEL DE TRAVA;
AECLPKR140000022 - SELO OBT PROD 43-45;
AECLPKR140000023 - CHAVETA DA CAMISA DE SUPORTE;
AECLPKR140000024 - CORPO DA CAMISA DE SUPORTE 45;
AECLPKR140000040 - ANEL ESPAÇADOR PARA PACKER FH 45B DN 5.1/2 IN;
AECLPKR140000069 - ANEL DE CISALHAMENTO 30000 LBF PARA PACKER FH 5.1/2 IN 45;
AECLPKR140000074 - (REPARO DE OBTURADOR) CAMISA DE ASSENTAMENTO FH 45;
AECLPKR140000075 - CUNHA 5.1/2 IN 45A P/ PACKER R-3DG E EA 45A;
"AECLPKR140000094 - CAMISA DE BALANCEIO 44;45 EA REF. BAKER 01-56442-00";
AECLPKR140000132 - CAMISA HIDRAULICA PCS-5;
AECLPKR140000136 - MANDRIL PCS-5;
AECLPKR140000138 - CAMISA DE SUPORTE PCS-5;
AECLPKR140000157 - MANDRIL INFERIOR AR-1 43 45 REF. BAKER 01-69749-00;
AECLPKR178000035 - (REPARO PARA OBTURADOR) CUNHA FH 47AB;
AECLPKR178000036 - ANEL DE CISALHAMENTO 30000 LBF PARA PACKER AD-1 DN 7 IN 47;
AECLPKR178000037 - CORPO PINCA PARA PACKER HH-L DN 7 IN 47 API SPEC 11D1 ROSCA PN 5.1/4 IN 8 STUB ACME X ROSCA CX 4.1/16 IN 8 STUB ACME X FUROS LATERAIS 1.1/2 IN 13 UNC;
AECLPKR178000047 - (REPARO DE OBTURADOR) MANDRIL FH 47 2.7/8IN NU;
AECLPKR178000063 - ANEL DE CISALHAMENTO FH 47 30000LBF;
AECLPKR178000066 - ANEL DE CISALHAMENTO FH 47 40000LBF;
AECLPKR178000120 - (REPARO DE OBTURADOR) MANDRIL PCS-5 XC 47 3.1/2IN;
AECLPKR178000121 - (REPARO DE OBTURADOR) CAMISA HIDRAULICA PCS-5 XC 47 3.1/2IN;
AECLPKR178000122 - (REPARO DE OBTURADOR) ANEL TRAVA PCS-5 XC 47 3.1/2IN;
